Timestamp,Initials,Article,Volume,Issue,Page,Title and Subtitle,Artist/Photographer,Engraving Company,Type,Size,Orientation,Location on Page,Identity Groups pictured and named (or can be deduced),People pictured and named (or can be deduced),Groups/Organizations/Entities pictured and named (or can be deduced),Places pictured and named (or can be deduced),Activities pictured and named (or can be deduced),Flora and Fauna pictured and named (or can be deduced),Commodities pictured and named (or can be deduced),Technology/Transportation/Infrastructure/Built Environment pictured and named (or can be deduced),Natural Environment/Climate pictured and named (or can be deduced),Themes,3-4 Main Elements,Description,Additional Notes,Further Research Required?,Required Research Notes
7/12/2013 10:28:29,JH,La Fiesta de Los Angeles,6,6,270,The Floral Queen Sallie P. M'Farland and her Maids of Honor,M. B. Howard,L. A. Eng. Co.,photograph,--,not rotate,1; 2; 3; 4; ,women; man; Floral Queen; Maids of Honor;,Sallie P. M'Farland; ,n/a,Los Angeles,n/a,trees; horse; ,n/a,float; road; building;,trees; ,Gender; Aesthetics; US Regionalism--West;,La Fiesta de Los Angeles; Floral Queen; Gender; ,"Several women and girls are pictured riding a large, parade float in front of a large building. A man riding a horse appears to have been superimposed on the photograph. ",,No,
7/12/2013 10:32:34,JH,La Fiesta de Los Angeles,6,6,270,"The Santa Claus Float, 1897",M. B. Howard,L. A. Eng. Co.,photograph,--,not rotate,3; 4; 5; 6; ,n/a,Santa Claus;,n/a,Los Angeles; North Pole;,n/a,reindeer; trees; grass;,n/a,float; ,trees; grass;,Expansionism; US Regionalism--West; Religion--Christianity;,Santa Claus; La Fiesta de Los Angeles; Expansionism; ,An artificial reindeer is pictured on a large parade float decorated with artificial ice and snow.,,No,
7/12/2013 10:42:11,JH,La Fiesta de Los Angeles,6,6,271,"Floral Day, 1897; 1. Rose Cart; 2. Los Caballeros; 3. A Marguerite Four-in-Hand",Graham & Morrill,L. A. Eng. Co.,photograph,--,not rotate,1; 2; 3; 4; 5; 6; ,men; women; Mexican;,n/a,Los Caballeros; ,Los Angeles;,n/a,flowers; horses; trees; rose; ,n/a,horse-drawn carriage; fence; road; cart; ,trees; ,Gender; Interculturalism; Peoples--Hispanic; Race and Ethnicity; US Regionalism;,La Fiesta de Los Angeles; Interculturalism; Floral Day;,"Three photographs form this image. The first, subtitled ""Rose Cart,"" depicts three women riding a horse-drawn cart decorated with flowers. The second, subtitled, ""Los Caballeros,"" depicts a large number of men riding horses. The third, subtitled ""A Marguerite Four-in-Hand,"" depicts a carriage decorated with flowers, with five passengers (of varying gender) propelled by four horses.",,No,
7/12/2013 10:49:16,JH,La Fiesta de Los Angeles,6,6,272,"Floral Day, 1897",Stiffler; Waite;,n/a,photograph,--,not rotate,1; 2; 3; 4; 5; 6; ,women; men; soldiers; ,F. K. Rule; ,Americus Club; ,Los Angeles; Pasadena; ,n/a,flowers; trees; grass; horses; pea;,n/a,guns; horse-drawn carriage; field; house; building; ,trees; grass; ,Gender; US Regionalism; National Pride; Publics; ,La Fiesta de Los Angeles; F. K. Rule; Americus Club; ,"Three photographs comprise this image. The first, subtitled ""Marigold Cart of F. K. Rule,"" depicts three women and one man riding a carriage decorated with flowers pulled by two horses. The second, subtitled ""Americus Club, Pasadena, escorting the Queen to the Throne,"" depicts a large number of uniformly dressed men in a large arena, with a large crowd of spectators. The third, subtitled, "" Sweet Pea Carriage,"" depicts a man and a woman riding a carriage decorated with flowers pulled by a single horse.",,No,
7/12/2013 10:55:53,JH,Long Beach and Alamitos,6,6,273,General View of Long Beach,n/a,n/a,photograph,--,not rotate,1; 2; ,n/a,n/a,n/a,Long Beach;,n/a,trees; ,n/a,buildings; ,beach; ocean; trees; sand;,Aesthetics; Leisure; Location profile; Nature; Tourism; US Regionalism--West;,Leisure; Long Beach; Tourism; US Regionalism--West;,This photograph depicts Long Beach from a distance. Buildings line the beach and trees appear in the background.,,No,
7/12/2013 10:59:53,JH,Long Beach and Alamitos,6,6,273,Pleasure Wharf at Long Beach,n/a,n/a,photograph,--,not rotate,5; 6; ,women;,n/a,n/a,Long Beach;,sunbathing; swimming;,n/a,n/a,pier;,cliff; ocean; sand; beach;,Leisure; Location profile; Tourism;,Long Beach; Leisure; Location profile; Tourism;,Two women stand on a cliff overlooking sunbathers and swimmers along the beach in this photograph. A long pier appears in the background. ,,Yes,"What does the word ""wharf"" mean in this period? Does wharf refer to the pier (built environment) in the distance or to the shore (natural environment)? This picture suggests the latter."
7/12/2013 11:03:07,JH,Long Beach and Alamitos,6,6,274,Public School,n/a,n/a,photograph,--,not rotate,1; 3; ,students;,n/a,n/a,Long Beach;,n/a,trees;,n/a,school; fence; ,trees;,Education; Location profile; Publics; US Regionalism--West,Public School; Education; Location Profile; Long Beach,"This photograph depicts a large, multi-storeyed school house surrounded by trees and a fence. Students are pictured near the entrance.",n/a,No,
7/12/2013 11:06:55,JH,Long Beach and Alamitos,6,6,274,Bank of Long Beach,n/a,n/a,photograph,--,not rotate,4; 6; ,men;,Louis A. Bailey; D. Powell; ,Bank of Long Beach;,Long Beach;,n/a,n/a,n/a,bank; street;,n/a,Economics--business; Economics--investment; Location profile; US Regionalism--West;,Long Beach; Bank of Long Beach; Location Profile; Economics;,Two men are pictured standing in front of the Bank of Long Beach. Other businesses are also located in the building.,,No,
7/12/2013 11:09:48,JH,Long Beach and Alamitos,6,6,275,Bellevue Lodge (See Items of Interest),n/a,n/a,photograph,--,not rotate,1; 2; ,n/a,n/a,n/a,Long Beach;,n/a,shrubs; ,n/a,Bellevue Lodge; ,shrubs; ,Leisure; Location profile; Publics; US Regionalism;,Bellevue Lodge; Long Beach; Location profile; ,A significant number of individuals are pictured standing outside of and on the decks and balconies of the Bellevue Lodge. The lodge is surrounded by shrubs.,,No,
7/12/2013 11:14:00,JH,Long Beach and Alamitos,6,6,275,The Henderson Building,n/a,n/a,photograph,--,not rotate,5; 6; ,men; ,Wm. Schilling; Henderson;,Wm. Schilling & Co.; ,Long Beach;,n/a,trees; horse;,Dry goods; ,The Henderson Building; street; horse-drawn carriage; ,trees;,Economics--business; Location profile; US Regionalism;,The Henderson Building; Long Beach; Location Profile; Economics--business,Several men are pictured in front of and on the balcony of the Henderson Building. A horse-drawn carriage appears on the street in front of the building. A sign for Wm. Schilling & Co. appears on the side of the building.,,Yes,Puritas ?
7/12/2013 11:31:24,JH,Long Beach and Alamitos,6,6,276,Pictures of Alamitos,n/a,n/a,photograph,--,rotate,1; 2; 3; 4; 5; 6; ,child; ,n/a,n/a,Alamitos;,n/a,palm trees; trees; ,n/a,bridge; orchard;,trees; water; ,Nature; Cultivation--agriculture; US Regionalism--West; Aesthetics; ,Alamitos; US Regionalism--West; Nature; Cultivation--Agriculture;,This photograph of four photographs depicts the natural and cultivated environment of Alamitos. The only human pictured is a child seated on the ground in an orchard.,n/a,No,
7/12/2013 11:35:35,JH,Long Beach and Alamitos,6,6,277,The Wingard's,n/a,n/a,photograph,--,not rotate,3; 4; ,men; doctor; ,Dr. J. W. Wood; Wingard; ,Wingard's Central Pharmacy;,Alamitos;,shopping; cycling;,n/a,groceries; drugs;,bicycle; pharmacy; grocery store; street; ,n/a,Economics--business; Location profile; US Regionalism--West; Health--treatment; Expertise; Food & Drink; ,Wingard's Central Pharmacy; Alamitos; Location profile; Economics--business; ,Several men are pictured in front of a building that houses Wingard's Central Pharmacy. One of the men stands beside a bicycle.,n/a,No,
7/12/2013 11:37:43,JH,Long Beach and Alamitos,6,6,278,Terminal Depot,n/a,n/a,photograph,--,not rotate,2; ,n/a,n/a,n/a,Alamitos;,travel;,n/a,n/a,Terminal Depot; street; ,n/a,Transportation; Location profile; US Regionalism--West;,Alamitos; Terminal Depot; Transportation; Location profile;,This photograph depicts the Terminal Depot of Alamitos.,,No,
7/12/2013 11:42:16,JH,Long Beach and Alamitos,6,6,278,Postoffice Block,n/a,n/a,photograph,--,not rotate,5; 6; ,men; ,Dunn; Greening;,Excelsior Bakery; Dunn & Greening Real Estate; Post-Office; ,Alamitos; ,shopping; ,n/a,baked goods;,post-office; Excelsior Bakery; Dunn & Greening Real Estate; ,n/a,Economics--Business; Government; Location profile; US Regionalism--West;,Economics--Business; Location profile; Alamitos; Post-office;,"This photograph depicts ""postoffice block"" in Alamitos. Several men are pictured standing in front of a row of offices and shops which includes Excelsior Bakery, Dunn & Greening Real Estate, and a post-office. ",,No,
7/12/2013 11:52:07,JH,To Meet the Demand,6,6,279,"A. Nicolson Co. Groceries, Byrne Building, Cor. Third St. and Broadway, Los Angeles",n/a,n/a,photograph,--,not rotate,3; 4; ,men; grocers;,A. Nicolson; H. W. Seymour; J. R. Shaffer; H. I. Seward;,A. Nicolson Co.,Los Angeles; ,n/a,n/a,groceries;,grocery store; building;,n/a,Economics--business; Gender--masculinity; Promotion; ,A. Nicolson Co.; Economics--business; Promotion; Los Angeles;,"Six distinct photographs comprise this image. Four portraits of H. I. Seward, H. W. Seymour, J. R. Shaffer, and A. Nicolson are placed around a photograph of the interior retail area of A. Nicolson Co. grocery store and a photograph of the exterior of the business.",,No,
7/12/2013 11:56:26,JH,Do You Care What You Wear?,6,6,280,"Clothing and Gentlemen's Furnishing Department of Mullen & Bluett Clothing Co., First and Spring Sts.",Waite,Union Eng. Co.,photograph,--,not rotate,3; 4; ,gentlemn; ,Mullen; Bluett;,Mullen & Bluett Clothing Co.,Los Angeles; ,n/a,n/a,clothing;,store; electric lights; ,n/a,Economics--business; Clothing; Class; Standard of living; ,Mullen & Bluett Clothing Co.; Economics--business; Clothing;,This photograph depicts the clothing and gentlemen's furnishing department of Mullen & Bluett Clothing Co. The store has electric lights and hardwood floors.,,No,
7/13/2013 22:49:05,AW,La Fiesta de Los Angeles,6,6,265,"Mrs. Modini-Wood, Queen of La Fiesta, 1895. ",Steckel,n/a,photograph,,not rotated,3; 4; 5; 6,woman; white; wife,Mrs. Modini-Wood,La Fiesta de Los Angeles,Los Angeles,posing; contest,n/a,stool; potted pants; dress; crown; curtain; jewelry,photographing studio,n/a,Gender--Femininity; Class--wealth; Aesthetics; Success; ,Gender--Femininity; Aesthetics; La Fiesta de Los Angeles,"The photograph shows Mrs. Modini-Wood posed off right in an ornate gown, crown, and other jewelry looking to the left. She is posed in a photo studio with pillars, a curtain, and a fancy footstool. ",,No,
7/13/2013 22:57:52,AW,La Fiesta de Los Angeles,6,6,266,One of the 1897 Floats of the Street Parade,Waite,L. A. Eng. Co. ,photograph,,not rotated,1; 2; 3; 4,Egyptian; White; Men; Women; Royalty,n/a,La Fiesta de Los Angeles ,Los Angeles,parade; costuming,palm; papyrus,parade float; costumes; fans; palm leaves; signs,parade float,n/a,Interculturalism--borrowing; Class--wealth; Leisure; Aesthetics; Race and Ethnicity; Publics; Tourism,Interculturalism--borrowing; Publics; La Fiesta de Los Angeles,The image shows a parade float showing an Egyptian boat filled with royally dressed actors as well as people pretending to row the boat. On the ground stands a man also in costume. The boat has a  Pharoh's face on the front and shading in the back. ,,No,
7/13/2013 23:06:38,AW,La Fiesta de Los Angeles,6,6,266,"Grand Stand, Floral Day, 1897: The Fiesta and Floral Queens and Maids of Honor.",Waite,L. A. Eng. Co. ,Photograph,,not rotated,3; 4; 5; 6,men; women; white; soldiers; pageant queens; Floral Queens; Maids of Honor,n/a,La Fiesta de Los Angeles ,Los Angeles ,parade; pageant; posing; competition,palms; flowers,dresses; bouquets; flowers; stage; throne; spears; helmet; hats,strage; throne,n/a,Gender; Age; Class--wealth; Leisure; Aesthetics; Tourism ,Aesthetics; Gender; La Fiesta de Los Angeles; Class--wealth,"Pictured on the top-center of the image is the Queen of the Fiesta at the top of the stage. Starting on either side of her, a line of Maids of Honor come down the stairs. On either side of the stage is first a crowd of what appears to be soldiers or police and then behind them, onlookers. The participants in the Fiesta are costumed. ",,Yes,Who was the Queen of the Fiesta?
7/13/2013 23:16:32,AW,La Fiesta de Los Angeles,6,6,267,"The Southern California Float, 1896",n/a,n/a,drawing,,not rotated,1; 2; 3; 4,woman; Californian ,n/a,La Fiesta de Los Angeles,Los Angeles; Southern California,Parade,trees; flowers ,parade float; scepter ,parade float; church; background buildings,sunny; bright,Aesthetics; Gender--femininity; Expansionism; US Regionalism; Storytelling; Happiness; Success,Storytelling; Southern California; Expansionism,"The image shows the Southern California float with a woman sitting in a flower, with a flower shading her and she's holding a scepter. The float is facing left/west  and the background has a large sun behind a church and a government-like structure. ",,No,
7/15/2013 15:09:56,MB,Santa Barbara.,7,4,172,Santa Barbara Bay and Boulevard.,Photo. by Maude,L. A. Eng. Co.,Photograph,?,Not rotate,5; 6,N/A,N/A,N/A,Santa Barbara; Santa Barbara Bay,N/A,trees,N/A,boulevard; flagpole,bay,Location profile--city,Santa Barbara Bay; boulevard; Santa Barbara; Location profile--city,A photograph of Santa Barbara Bay and a boulevard in Santa Barbara.  A flagpole and a few trees are also clearly visible.,N/A,No,N/A
7/15/2013 15:12:56,MB,Santa Barbara.,7,4,173,"Yacht Olga, off Santa Barbara.","By Newton, Santa Barbara.",L. A. Eng. Co.,Photograph,?,Not rotate,3; 4,N/A,N/A,N/A,Pacific Ocean; Santa Barbara,yachting,N/A,N/A,yacht,ocean,Transportation; Leisure; Location profile--city,yacht; Pacific Ocean; Santa Barbara; Location profile--city,"A photograph of a yacht named ""Olga"" sailing in the Pacific Ocean off the coast of Santa Barbara.",N/A,No,N/A
7/15/2013 15:17:11,MB,Santa Barbara.,7,4,174,Santa Barbara Bathing Pavilion.,Photo. by Rogers.,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,3; 4,tourists; bathers,N/A,N/A,Santa Barbara,bathing,horses,N/A,bathing pavilion,beach,Leisure; Tourism; Location profile--city,bathing; bathing pavilion; Santa Barbara; Location profile--city,A photograph of a bathing pavilion in Santa Barbara.  Bathers and horses are visible on the beach in front of the pavilion.,N/A,No,N/A
7/15/2013 15:20:15,MB,Santa Barbara.,7,4,175,A Santa Barbara Rose Bush.,N/A,N/A,Photograph,?,Not rotate,3; 4,N/A,N/A,N/A,Santa Barbara,N/A,rose bush,N/A,N/A,rose bush,Cultivation--horticulture; Location profile--city,rose bush; Cultivation--horticulture; Santa Barbara; Location profile--city,A photograph of a rose bush in Santa Barbara.,No text is given other than the title.,No,N/A
7/15/2013 15:23:56,MB,Santa Barbara.,7,4,176,The Quarters of the Country Club.,Photo. by Rogers.,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,3; 4,N/A,N/A,Country Club,Santa Barbara,N/A,trees,N/A,country club,N/A,Leisure; Arts--architecture; Location profile--city,Country Club; Leisure; Santa Barbara; Location profile--city,A photograph of the Country Club in Santa Barbara.  Trees are clearly visible in the foreground.,N/A,No,N/A
7/15/2013 15:26:59,MB,Santa Barbara.,7,4,177,The Mission of Santa Barbara.,N/A,N/A,Drawing,?,Not rotate,5; 6,N/A,N/A,Mission of Santa Barbara,Santa Barbara,N/A,N/A,N/A,mission,N/A,Religion--Christianity; Preservation--structural; Location profile--city,Mission of Santa Barbara; Religion--Christianity; Santa Barbara; Location profile--city,A drawing of the Mission of Santa Barbara.,The only text is the title.,No,N/A
7/15/2013 16:37:41,MB,Beauteous Glendora.,7,4,178,General view of Glendora.,N/A,Mausard-Collier Eng. Co.,Photograph,?,Rotate,1; 2; 3; 4; 5; 6,N/A,N/A,N/A,Glendora,N/A,trees,N/A,buildings; streets,N/A,Location profile--city; Promotion,Glendora; Location profile--city; Promotion,A panoramic photograph of Glendora.,N/A,No,N/A
7/15/2013 16:40:14,MB,Beauteous Glendora.,7,4,179,"""Kregemont"" Residence on C. E. Kregelo's Orange and Lemon Orchard.",N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,3; 4,N/A,N/A,N/A,Glendora,N/A,trees; shrubs,N/A,house,N/A,Arts--archictecture; Location profile--city; Promotion,Glendora; Arts--architecture; Location profile--city; Promotion,A photograph of the C. E. Kregelo residence in Glendora.  Trees and shrubs are visible in the foreground.,N/A,No,N/A
7/15/2013 16:42:32,MB,Beauteous Glendora.,7,4,179,"""Glen-Dora"" Residence of Geo. D. Whitcomb.",N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,5; 6,N/A,Geo. D. Whitcomb,N/A,Glendora,N/A,trees; plants,N/A,house,N/A,Arts--architecture; Location profile--city; Promotion,Glendora; Arts--architecture; Location profile--city; Promotion,A photograph of the Geo. D. Whitcomb residence in Glendora.  Trees and plants are visible in the foreground.,N/A,No,N/A
7/15/2013 16:46:01,MB,Beauteous Glendora.,7,4,180,"""Englewild"", Residence of J. P. Englehart.",N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,1; 2,N/A,J. P. Englehart,N/A,Glendora,N/A,trees,N/A,house,N/A,Arts--architecture; Location profile--city; Promotion,Glendora; Arts--architecture; Location profile--city; Promotion,A photograph of the J. P. Englehart residence in Glendora.  Trees are visible both in front of and behind the building.,N/A,No,N/A
7/15/2013 16:48:07,MB,Beauteous Glendora.,7,4,180,Residence of J. H. Odell.,N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,5; 6,people,N/A,N/A,Glendora,N/A,shrubs,N/A,houses; bicycles,N/A,Arts--architecture; Location profile--city; Promotion,Glendora; Arts--architecture; Location profile--city; Promotion,"A photograph of the J. H. Odell residence in Glendora.  In the foreground, people, bicycles, and shrubs are all visible.",N/A,No,N/A
7/15/2013 16:50:20,MB,Beauteous Glendora.,7,4,181,Residence of D. A. Cole.,N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,1; 2,N/A,N/A,N/A,Glendora,N/A,trees,N/A,house,N/A,Arts--architecture; Location profile--city; Promotion,Glendora; Arts--architecture; Location profile--city; Promotion,A photograph of the D. A. Cole residence in Glendora.  Trees are visible in the foreground.,N/A,No,N/A
7/15/2013 16:52:37,MB,Beauteous Glendora.,7,4,181,Residence of A. C. Stower.,N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,5; 6,N/A,A. C. Stower,N/A,Glendora,N/A,trees; plants,N/A,house,N/A,Arts--architecture; Location profile--city; Promotion,Glendora; Arts--architecture; Location profile--city; Promotion,A photograph of the A. C. Stower residence in Glendora.  Trees and other plants are clearly visible in the foreground.,N/A,No,N/A
7/15/2013 16:57:44,MB,Beauteous Glendora.,7,4,182,"Avenue Dividing ""Englewild"" and ""Kregemont"" Orange and Lemon Orchards.",N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,1; 2,N/A,N/A,"""Englewild"" Orange and Lemon Orchard; ""Kregemont"" Orange and Lemon Orchards",Glendora,N/A,orange trees; lemon trees,N/A,avenue; orchards,orchards,Cultivation--agriculture; Location profile--city; Promotion,Glendora; Cultivation--agriculture; Location profile--city; Promotion,"A photograph of the avenue that devides the ""Englewild"" and ""Kregemont"" Orange and Lemon Orchards from each other.  Orange and lemon trees are clearly visible lining the avenue.","""Photo. taken 1893.""",No,N/A
7/15/2013 17:01:15,MB,Beauteous Glendora.,7,4,182,Six-year-old Orange Orchard.,N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,5; 6,men,N/A,N/A,Glendora,inspecting,orange trees,N/A,orchard,orchard,Cultivation--agriculture; Location profile--city; Promotion,Glendora; Cultivation--agriculture; Location profile--city; Promotion,A photograph of a man inspecting an orange tree in an orange orchard in Glendora.,N/A,No,N/A
7/15/2013 17:05:34,MB,Beauteous Glendora.,7,4,183,"Thos. Kamphefner, J. H. Odell, A. C. Stower, F. E. Odell - Mercantile Co.",N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,1; 2,N/A,Thos. Kamphefner; J. H. Odell; A. C. Stower; F. E. Odell,Kamphefner & Co.,Glendora,N/A,trees,N/A,store (building),N/A,Economics--business; Location profile--city; Promotion,Glendora; Economics--business; Location profile--city; Promotion,A photograph of the Kamphefner & Co. store in Glendora.  Trees are clearly visible in the foreground.,N/A,No,N/A
7/15/2013 17:08:30,MB,Beauteous Glendora.,7,4,183,Glendora Public School.,N/A,N/A,Photograph,?,Not rotate,5; 6,N/A,N/A,Glendora Public School,Glendora,N/A,trees,N/A,school; fences,N/A,Education; Location profile--city; Promotion,Glendora; Education; Location profile--city; Promotion,A photograph of the Glendora Public School in Glendora.  Trees and a fence are clearly visible in the foreground.,N/A,No,N/A
7/15/2013 17:14:29,MB,Beauteous Glendora.,7,4,184,Glendora Christian Church.,N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,1; 3,N/A,N/A,Glendora Christian Church,Glendora,N/A,trees; shrubs,N/A,church,N/A,Religion--Christianity; Location profile--city; Promotion,Glendora; Religion--Christianity; Location profile--city; Promotion,A photograph of the Glendora Christian Church in Glendora.  Trees and shrubs are visible in the foreground.,N/A,No,N/A
7/15/2013 17:18:56,MB,Beauteous Glendora.,7,4,184,Glendora Methodist Episcopal Church.,N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,5; 6,N/A,N/A,Glendora Methodist Episcopal Church,Glendora,N/A,trees,N/A,church,N/A,Religion--Christianity; Location profile--city; Promotion,Glendora; Religion--Christianity; Location profile--city; Promotion,A photograph of the Glendora Methodist Episcopal Church in Glendora.,N/A,No,N/A
7/15/2013 17:22:30,MB,Beauteous Glendora.,7,4,185,"Glendora Station, Santa Fe Route.",N/A,Mausard-Collier Eng. Co.,Photograph,?,Not rotate,1; 2,N/A,N/A,Glendora Station; Santa Fe Route,Glendora; Santa Fe,N/A,N/A,N/A,railway,N/A,Transportation; Location profile--city; Promotion,Glendora; Transportation; Location profile--city; Promotion,A photograph of the Santa Fe Route's Glendora Station in Glendora.,N/A,No,N/A
7/15/2013 17:25:01,MB,Beauteous Glendora.,7,4,185,N/A,N/A,N/A,Drawing,?,Not rotate,5; 6,N/A,N/A,N/A,Glendora,N/A,birds (quails?); reeds,N/A,N/A,N/A,Nature; Location profile--city; Promotion,Glendora; Nature; Location profile--city; Promotion,A drawing of birds (possibly quails) among reeds.  Used as a decoration at the end of the advertisement.,N/A,Yes,Try to determine if the birds pictured are indeed quails.
7/15/2013 21:41:24,MB,A Promising Locality.,7,4,186,N/A,N/A,N/A,Drawing,?,Not rotate,1,women,N/A,N/A,Tehama county (?),N/A,N/A,N/A,urn,water,Promotion; Location profile,women; Promotion; Location profile,"A line drawing of a woman pouring water out of an urn.  A locality is depicted behind her, perhaps Tehama county.",N/A,Yes,Is the locality depicted indeed Tehama county?  Is there any way to determine this or not?
7/15/2013 21:44:38,MB,A Promising Locality.,7,4,187,A Typical Colony.,"Alverson, Design.",Behre Photo. Eng. Co.,Photograph,?,Not rotate,3; 4,N/A,N/A,Bend Colony (?),Bond Colony (?),N/A,plants,N/A,colony,orchards,Promotion; Location profile,Promotion; Location profile; Bend Colony; orchard,"A photograph of ""a typical colony"", likely (but not certainly) Bend Colony in California.  An orchard of some kind is clearly depicted in the foreground.",N/A,Yes,"Is the ""typical colony"" pictured actually Bend Colony?  Is there any way of knowing or determing?"
7/15/2013 21:50:37,MB,A Promising Locality.,7,4,188,Map of Bend Colony.,N/A,L. A. Eng. Co.,Map,?,Not rotate,2; 3; 4; 5,N/A,N/A,Bend Colony,Bend Colony; Sacramento River,N/A,N/A,N/A,colony,river,Promotion; Location profile,Bend Colony; map; Sacramento River; Location profile,"A map of Bend Colony in California, showing county lines, property lines, and rivers.",N/A,No,N/A
7/16/2013 15:13:03,RM,La Cabana,8,2,62,Cabane at Viarreggio,n/a,Behre Eng. Co.,drawing or painting,,rotate,1; 2; 3; 4; 5; 6,Italians; peasants,n/a,n/a,"Viareggio, Italy",beachgoing; leisure,n/a,n/a,cabane; shack; cabanas,beach; sand; waterfront,Leisure; Maritime culture; Tourism; Interculturalism,Tourism; Leisure; Beach; Italy,"An illustration of cabane on the Italian Riviera depicting children at play in the sand, relaxation, and a young girl with a basket and headscarf.",n/a,No,
7/16/2013 15:22:56,RM,Industrious Orioles,8,2,65,"Nests of ""Bullock's Orioles."" (Built by one pair on one season.)",Rogers,Behre Eng. Co.,photograph,,not rotate,3; 4; 5; 6,n/a,n/a,n/a,n/a,"bird watching; natural history; ornithology

",orioles; straw,n/a,n/a,n/a,Nature; Cultivation--animal husbandry; ,Orioles; ornithology; natural history; nature,A photographed reconstruction of the five orioles' nests observed and recorded in the accompanying article.,,No,
7/16/2013 16:10:29,RM,A Neglected Corner,8,2,66,The Mission Dolores,Idah Meacham Strobridge,C.M. Davis Eng. Co.,photograph,,rotate,1; 2; 3; 4; 5; 6,n/a,n/a,n/a,Mission San Francisco de As�s; Mission Dolores; San Francisco,n/a,n/a,n/a,church; mission; graveyard,n/a,Nostalgia; Religion; Temporality--Past,Church; San Francisco; Mission Dolores,"A photograph of the main Mission Dolores, the oldest church in San Francisco.",,No,
7/16/2013 16:15:08,RM,A Neglected Corner,8,2,67,The Oldest House in San Francisco,Idah Meacham Strobridge,C. M. Davis Eng. Co.,Photograph,,not rotate,3; 4,n/a,n/a,n/a,Mission Dolores,n/a,n/a,n/a,church; mission,n/a,Nostalgia; Religion; Temporality--past,Church; temporality--past; San Francisco; religion,An author photograph of the original mission building in San Francisco.,,No,
7/16/2013 16:19:43,RM,A Neglected Corner,8,2,68,The Grave of Casey,Ida Meacham Strobridge,C. M. Davis Eng. Co.,photograph,,not rotate,1; 2; 3; 4,n/a,James P. Casey,n/a,San Francisco; Mission Dolores,n/a,n/a,,monument; grave; graveyard,n/a,Death; Religion; Temporality--past; Death--murder,graveyard; monument; death; temporality--past,"The grave marker of James P. Casey, a newspaper editor and former inmate of Sing Sing Prison who was executed for shooting journalist James King.",,No,
7/16/2013 16:24:50,RM,A Neglected Corner,8,2,69,Grave of the First Mexican Governor,Ida Meacham Strobridge,C.M. Davis Eng. Co.,photograph,,not rotate,3; 4; 5; 6,n/a,Antonio Arguello,n/a,San Francisco; Mission Dolores;,n/a,ivy,n/a,graveyard; monument; grave,n/a,Death; Temporality--past; Peoples--Hispanic; Religion,Graveyard; monument; death,"A photograph of the grave of Luis Antonio Arguello, the governor of Alta California during Mexican rule. The grave is located in San Francisco at the Mission Dolores.",,No,
7/16/2013 16:27:16,RM,A Neglected Corner,8,2,70,In Mission Dolores Churchyard,Ida Meacham Strobridge,C.M. Davis Eng. Co.,photograph,,not rotate,3; 4,n/a,n/a,n/a,San Francisco; Mission Dolores,n/a,n/a,n/a,graveyard; churchyard; momument,n/a,Death; Temporality--past; Religion,graveyard; religion; temporality--past; death,A photograph of the overgrown graves at Mission Dolores in San Francisco.,,No,
7/16/2013 17:01:15,RM,A Veteran on New Mexico,8,2,72,The Ruins of Pecos,C.F. Lummis,L.A. Engraving Co.,photograph,,rotate,1; 2; 3; 4; 5; 6,n/a,n/a,n/a,Pecos Pubelo; New Mexico,n/a,n/a,n/a,ruins,desert,Temporality--past; location profile--rural,Pecos; pueblo; New Mexico,A photograph taken by Lummis of the site of the Pecos pueblo and church in New Mexico.,,No,
7/16/2013 17:12:30,JH,Regulations and Instructions For the Garrisons of the Peninsula of Californias (Concluded),6,6,254,A Map of North America in 1754: Drawn by the Geographer-in-ordinary to the King of Spain,Geographer-in-ordinary,L. A. Eng. Co.,map,,rotate,1; 2; 3; 4; 5; 6; ,n/a,n/a,Spain;,Spain; North America; Canada; Mar de el Norte; ,n/a,n/a,n/a,n/a,n/a,Expansionism; Interculturalism; Language--Spanish; Peoples--Hispanic; Historicizing; Temporality--past;,Language--Spanish; Historicizing; Interculturalism; Temporality--past;,This map from 1754 depicts the political boundaries and geographic features of North America according to the Spanish government at the time.,n/a,No,
7/16/2013 16:55:27,RM,A Veteran on New Mexico,8,2,71,Gen. W.W.H. Davis.,n/a,L.A. Eng. Co.,photograph,,not rotate,5,n/a,W.W.H. Davis,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Biography,Biography; W.W.H. Davis,A vignetted photograph of W.W.H Davis.,,No,
